interaction_id,Interaction_Time,Department,User_Role,user_query,query_category,metrics_requested,analysis_type,bot_response_confidence,response_time_ms,user_feedback_rating,estimated_business_impact,Feedback_Category,Speed_Performance,AI_Success_Flag
INT-101103,53:31.9,Finance,Manager,Compare sales performance by region,Revenue,Churn Rate,Trend Analysis,0.8,1587,5,Low,Positive,Slow,High Performance
INT-101052,14:31.9,Sales,Intern,Which campaign had highest ROI?,Sales,ROI,Predictive,0.7,1546,5,Medium,Positive,Slow,High Performance
INT-102273,45:31.9,HR,Intern,Compare sales performance by region,Marketing,Profit Margin,Predictive,0.9,1100,2,Low,Negative,Slow,Review Needed
INT-102274,04:31.9,Sales,Intern,Forecast next quarter revenue,Revenue,Revenue,Descriptive,0.9,856,5,High,Positive,Slow,High Performance
INT-101586,15:31.9,Sales,Manager,What is customer churn rate?,Revenue,Conversion Rate,Trend Analysis,0.8,240,1,Medium,Negative,Instant,Review Needed
INT-101578,24:31.9,Finance,Analyst,Compare sales performance by region,Finance,Conversion Rate,Trend Analysis,0.9,1754,5,Low,Positive,Slow,High Performance
INT-101538,55:31.9,Finance,Intern,Which campaign had highest ROI?,Marketing,Profit Margin,Descriptive,0.9,483,4,Medium,Positive,Fast,High Performance
INT-101638,37:31.9,Sales,Manager,What is customer churn rate?,Marketing,Revenue,Predictive,0.7,582,4,High,Positive,Fast,High Performance
INT-101876,34:31.9,Sales,Executive,What is customer churn rate?,Finance,Churn Rate,Trend Analysis,0.9,1671,4,Low,Positive,Slow,High Performance
INT-101872,58:31.9,Finance,Intern,What is customer churn rate?,Finance,Revenue,Predictive,0.9,754,0,High,No Rating,Slow,Review Needed
INT-101864,01:31.9,HR,Executive,Compare sales performance by region,Finance,ROI,Trend Analysis,0.7,594,5,High,Positive,Fast,High Performance
INT-101868,08:31.9,Operations,Analyst,Compare sales performance by region,Sales,Profit Margin,Trend Analysis,0.9,1609,4,Medium,Positive,Slow,High Performance
INT-102063,25:31.9,Marketing,Executive,Forecast next quarter revenue,Customer,Profit Margin,Predictive,0.8,1144,5,Medium,Positive,Slow,High Performance
INT-102010,38:31.9,Operations,Intern,Which campaign had highest ROI?,Customer,ROI,Predictive,0.8,2491,0,Low,No Rating,Slow,Review Needed
INT-101971,09:31.9,Operations,Manager,What is customer churn rate?,Finance,Profit Margin,Predictive,0.8,806,5,Low,Positive,Slow,High Performance
INT-102605,21:31.9,Finance,Executive,What is customer churn rate?,Marketing,Conversion Rate,Predictive,0.8,810,1,Low,Negative,Slow,Review Needed
INT-102626,03:31.9,Sales,Manager,What is customer churn rate?,Customer,Revenue,Trend Analysis,0.8,2070,2,Medium,Negative,Slow,Review Needed
INT-102676,26:31.9,Operations,Manager,Show monthly revenue trend,Finance,Profit Margin,Trend Analysis,0.9,578,2,Medium,Negative,Fast,Review Needed
INT-102719,50:31.9,HR,Intern,Show monthly revenue trend,Finance,Profit Margin,Trend Analysis,0.9,2293,2,Medium,Negative,Slow,Review Needed
INT-102382,40:31.9,HR,Intern,What is customer churn rate?,Revenue,ROI,Descriptive,0.7,457,3,Medium,Neutral,Fast,High Performance
INT-102513,40:31.9,Sales,Intern,Forecast next quarter revenue,Sales,Revenue,Trend Analysis,0.8,1141,4,Low,Positive,Slow,High Performance
INT-102500,29:31.9,Operations,Intern,What is customer churn rate?,Sales,Conversion Rate,Predictive,0.8,1281,4,High,Positive,Slow,High Performance
INT-102434,27:31.9,HR,Intern,What is customer churn rate?,Marketing,Churn Rate,Predictive,1,1710,4,Low,Positive,Slow,High Performance
INT-102997,43:31.9,Finance,Intern,Which campaign had highest ROI?,Marketing,ROI,Predictive,0.7,684,4,High,Positive,Slow,High Performance
INT-103006,44:31.9,HR,Manager,Which campaign had highest ROI?,Sales,ROI,Descriptive,0.7,377,5,Low,Positive,Fast,High Performance
INT-102922,24:31.9,Operations,Intern,Show monthly revenue trend,Marketing,Conversion Rate,Descriptive,0.8,320,0,Low,No Rating,Fast,Review Needed
INT-103129,21:31.9,HR,Intern,What is customer churn rate?,Finance,Revenue,Predictive,0.7,347,4,High,Positive,Fast,High Performance
INT-103148,48:31.9,Marketing,Intern,Which campaign had highest ROI?,Finance,Conversion Rate,Predictive,0.6,2227,3,High,Neutral,Slow,High Performance
INT-103177,14:31.9,HR,Intern,What is customer churn rate?,Customer,Revenue,Descriptive,0.9,1193,1,Medium,Negative,Slow,Review Needed
INT-100681,08:31.9,Operations,Intern,What is customer churn rate?,Revenue,Revenue,Trend Analysis,0.6,575,0,Low,No Rating,Fast,Review Needed
INT-100691,57:31.9,Operations,Analyst,Show monthly revenue trend,Customer,Revenue,Descriptive,0.9,2229,1,Medium,Negative,Slow,Review Needed
INT-100316,17:31.9,Finance,Intern,What is customer churn rate?,Finance,Conversion Rate,Descriptive,0.9,881,1,Medium,Negative,Slow,Review Needed
INT-100282,17:31.9,Sales,Executive,Forecast next quarter revenue,Sales,Churn Rate,Predictive,0.7,1729,3,High,Neutral,Slow,High Performance
INT-100362,47:31.9,HR,Analyst,Compare sales performance by region,Marketing,Churn Rate,Predictive,0.8,1520,5,High,Positive,Slow,High Performance
INT-100366,25:31.9,HR,Manager,Forecast next quarter revenue,Revenue,Revenue,Predictive,1,2135,5,Low,Positive,Slow,High Performance
INT-100383,54:31.9,HR,Intern,What is customer churn rate?,Revenue,ROI,Descriptive,0.8,964,2,Medium,Negative,Slow,Review Needed
INT-100522,13:31.9,HR,Intern,Show monthly revenue trend,Revenue,Conversion Rate,Descriptive,0.8,1150,2,High,Negative,Slow,Review Needed
INT-100496,16:31.9,Finance,Analyst,What is customer churn rate?,Sales,Revenue,Predictive,0.9,1423,3,High,Neutral,Slow,High Performance
INT-100423,54:31.9,Marketing,Executive,Which campaign had highest ROI?,Revenue,ROI,Descriptive,0.9,1764,5,Low,Positive,Slow,High Performance
INT-100453,53:31.9,Operations,Manager,Which campaign had highest ROI?,Customer,Profit Margin,Descriptive,0.7,2407,2,High,Negative,Slow,Review Needed
INT-100041,41:31.9,Sales,Analyst,Which campaign had highest ROI?,Finance,Churn Rate,Predictive,1,417,3,Medium,Neutral,Fast,High Performance
INT-100171,18:31.9,Sales,Analyst,Forecast next quarter revenue,Finance,Profit Margin,Descriptive,0.7,1531,4,High,Positive,Slow,High Performance
INT-101057,16:31.9,HR,Analyst,Show monthly revenue trend,Sales,Profit Margin,Trend Analysis,0.7,2140,1,Medium,Negative,Slow,Review Needed
INT-101227,56:31.9,Sales,Analyst,What is customer churn rate?,Finance,Profit Margin,Predictive,0.8,1187,2,Low,Negative,Slow,Review Needed
INT-101304,08:31.9,Finance,Manager,What is customer churn rate?,Marketing,Revenue,Trend Analysis,0.7,1541,2,Medium,Negative,Slow,Review Needed
INT-100868,56:31.9,Marketing,Manager,Forecast next quarter revenue,Sales,Churn Rate,Trend Analysis,0.7,2060,0,Medium,No Rating,Slow,Review Needed
INT-100837,20:31.9,Marketing,Manager,Show monthly revenue trend,Customer,Conversion Rate,Trend Analysis,0.8,1343,4,Low,Positive,Slow,High Performance
INT-100849,16:31.9,Finance,Analyst,Compare sales performance by region,Revenue,ROI,Predictive,0.8,1538,3,nan,Neutral,Slow,High Performance
INT-100851,58:31.9,Operations,Executive,Show monthly revenue trend,Customer,Revenue,Predictive,0.8,415,1,Medium,Negative,Fast,Review Needed
INT-100822,56:31.9,Marketing,Manager,Compare sales performance by region,Marketing,ROI,Descriptive,0.7,204,0,Low,No Rating,Instant,Review Needed
INT-100811,44:31.9,Marketing,Intern,Forecast next quarter revenue,Revenue,Revenue,Trend Analysis,0.8,1959,4,Low,Positive,Slow,High Performance
INT-100797,09:31.9,Marketing,Intern,What is customer churn rate?,Marketing,Revenue,Trend Analysis,0.9,459,2,Low,Negative,Fast,Review Needed
INT-101482,47:31.9,Finance,Executive,Show monthly revenue trend,Finance,Churn Rate,Trend Analysis,0.9,2251,5,nan,Positive,Slow,High Performance
INT-101470,24:31.9,Marketing,Manager,Forecast next quarter revenue,Marketing,Conversion Rate,Descriptive,0.7,658,4,High,Positive,Slow,High Performance
INT-101362,15:31.9,HR,Executive,What is customer churn rate?,Revenue,Revenue,Predictive,0.8,1752,0,High,No Rating,Slow,Review Needed
INT-101408,23:31.9,Finance,Manager,Which campaign had highest ROI?,Customer,Revenue,Predictive,0.7,2370,2,High,Negative,Slow,Review Needed
INT-101424,07:31.9,Finance,Intern,Compare sales performance by region,Marketing,Profit Margin,Descriptive,0.6,1375,2,Low,Negative,Slow,Review Needed
INT-101826,13:31.9,Operations,Analyst,Which campaign had highest ROI?,Sales,Revenue,Descriptive,0.8,1762,2,Medium,Negative,Slow,Review Needed
INT-101625,34:31.9,Sales,Manager,Show monthly revenue trend,Customer,Profit Margin,Predictive,0.9,702,3,Medium,Neutral,Slow,High Performance
INT-101645,07:31.9,Sales,Manager,Compare sales performance by region,Finance,Profit Margin,Predictive,0.7,2185,3,Low,Neutral,Slow,High Performance
INT-101741,21:31.9,Sales,Analyst,Forecast next quarter revenue,Finance,Churn Rate,Predictive,0.9,1826,4,Medium,Positive,Slow,High Performance
INT-102168,51:31.9,Finance,Intern,Compare sales performance by region,Sales,ROI,Predictive,1,2040,4,Medium,Positive,Slow,High Performance
INT-102087,47:31.9,HR,Analyst,What is customer churn rate?,Sales,Profit Margin,Predictive,0.7,1923,4,High,Positive,Slow,High Performance
INT-102911,58:31.9,Sales,Executive,What is customer churn rate?,Revenue,Churn Rate,Predictive,0.9,2334,3,High,Neutral,Slow,High Performance
INT-102893,17:31.9,Operations,Executive,Forecast next quarter revenue,Finance,Churn Rate,Predictive,0.9,2079,4,nan,Positive,Slow,High Performance
INT-102908,13:31.9,Sales,Analyst,Forecast next quarter revenue,Customer,Revenue,Predictive,0.9,2255,0,Medium,No Rating,Slow,Review Needed
INT-102901,47:31.9,Marketing,Executive,Compare sales performance by region,Customer,ROI,Descriptive,0.9,1534,3,Medium,Neutral,Slow,High Performance
INT-102872,57:31.9,Sales,Manager,Show monthly revenue trend,Revenue,ROI,Trend Analysis,0.6,2347,5,Medium,Positive,Slow,High Performance
INT-103030,00:31.9,Marketing,Executive,Compare sales performance by region,Finance,ROI,Descriptive,0.9,722,5,Medium,Positive,Slow,High Performance
INT-102456,56:31.9,HR,Manager,What is customer churn rate?,Revenue,Churn Rate,Trend Analysis,1,2115,3,Medium,Neutral,Slow,High Performance
INT-102330,56:31.9,Sales,Analyst,Show monthly revenue trend,Sales,Conversion Rate,Descriptive,0.8,1528,2,nan,Negative,Slow,Review Needed
INT-102343,39:31.9,Finance,Intern,Compare sales performance by region,Marketing,Conversion Rate,Predictive,0.8,592,4,nan,Positive,Fast,High Performance
INT-102751,14:31.9,Marketing,Manager,Show monthly revenue trend,Revenue,Profit Margin,Descriptive,0.9,2058,3,High,Neutral,Slow,High Performance
INT-102783,01:31.9,Sales,Intern,Which campaign had highest ROI?,Marketing,Churn Rate,Predictive,0.8,2117,3,Low,Neutral,Slow,High Performance
INT-102784,05:31.9,Finance,Analyst,Forecast next quarter revenue,Finance,Profit Margin,Predictive,0.9,1065,4,High,Positive,Slow,High Performance
INT-102603,17:31.9,HR,Manager,What is customer churn rate?,Marketing,ROI,Trend Analysis,1,1659,5,nan,Positive,Slow,High Performance
INT-102574,12:31.9,Marketing,Executive,Forecast next quarter revenue,Sales,ROI,Predictive,0.9,2465,3,Low,Neutral,Slow,High Performance
INT-103100,23:31.9,Finance,Analyst,Show monthly revenue trend,Marketing,Profit Margin,Trend Analysis,0.9,625,4,Medium,Positive,Slow,High Performance
INT-100189,03:31.9,Finance,Analyst,Which campaign had highest ROI?,Customer,Profit Margin,Descriptive,0.8,2075,0,Low,No Rating,Slow,Review Needed
INT-100056,29:31.9,HR,Analyst,Show monthly revenue trend,Finance,Churn Rate,Predictive,0.6,382,3,High,Neutral,Fast,High Performance
INT-100030,13:31.9,Finance,Executive,Forecast next quarter revenue,Marketing,ROI,Descriptive,0.6,751,3,Medium,Neutral,Slow,High Performance
INT-100468,14:31.9,Sales,Manager,Show monthly revenue trend,Revenue,ROI,Predictive,0.9,316,0,nan,No Rating,Fast,Review Needed
INT-100515,52:31.9,Finance,Analyst,Which campaign had highest ROI?,Sales,Profit Margin,Predictive,0.8,1808,1,Medium,Negative,Slow,Review Needed
INT-100384,24:31.9,Operations,Executive,Forecast next quarter revenue,Marketing,ROI,Trend Analysis,0.9,1296,3,Low,Neutral,Slow,High Performance
INT-100364,59:31.9,HR,Intern,Show monthly revenue trend,Revenue,Profit Margin,Trend Analysis,0.8,1215,1,Low,Negative,Slow,Review Needed
INT-100376,15:31.9,HR,Intern,Show monthly revenue trend,Sales,Churn Rate,Descriptive,0.9,271,4,Low,Positive,Instant,High Performance
INT-100340,08:31.9,Sales,Analyst,What is customer churn rate?,Customer,Revenue,Trend Analysis,0.9,1773,1,Medium,Negative,Slow,Review Needed
INT-100700,18:31.9,Finance,Executive,Which campaign had highest ROI?,Finance,Profit Margin,Descriptive,0.9,2126,0,High,No Rating,Slow,Review Needed
INT-100708,28:31.9,Sales,Executive,Which campaign had highest ROI?,Marketing,ROI,Descriptive,0.7,1318,4,Low,Positive,Slow,High Performance
INT-100666,48:31.9,Operations,Manager,Compare sales performance by region,Revenue,Conversion Rate,Predictive,0.9,2412,3,nan,Neutral,Slow,High Performance
INT-100574,31:31.9,Operations,Executive,Compare sales performance by region,Sales,Conversion Rate,Descriptive,0.9,661,3,Low,Neutral,Slow,High Performance
INT-101430,11:31.9,Marketing,Analyst,Forecast next quarter revenue,Revenue,Conversion Rate,Predictive,0.9,1692,3,Medium,Neutral,Slow,High Performance
INT-101484,34:31.9,Sales,Manager,Which campaign had highest ROI?,Revenue,Profit Margin,Trend Analysis,0.8,480,1,Low,Negative,Fast,Review Needed
INT-101494,45:31.9,HR,Intern,What is customer churn rate?,Finance,Profit Margin,Trend Analysis,0.7,462,2,High,Negative,Fast,Review Needed
INT-101325,15:31.9,Finance,Intern,Show monthly revenue trend,Finance,Churn Rate,Descriptive,0.9,1262,3,nan,Neutral,Slow,High Performance
INT-101251,51:31.9,Finance,Executive,Forecast next quarter revenue,Customer,Profit Margin,Predictive,0.9,1220,5,nan,Positive,Slow,High Performance
INT-101188,52:31.9,Marketing,Manager,Show monthly revenue trend,Sales,Churn Rate,Descriptive,0.8,1990,3,Medium,Neutral,Slow,High Performance
INT-101090,30:31.9,Operations,Intern,Compare sales performance by region,Finance,Revenue,Descriptive,1,1023,3,Medium,Neutral,Slow,High Performance
INT-101168,05:31.9,Marketing,Manager,What is customer churn rate?,Customer,Revenue,Trend Analysis,0.8,288,2,Low,Negative,Instant,Review Needed
INT-101159,07:31.9,Operations,Executive,Forecast next quarter revenue,Revenue,Revenue,Descriptive,0.8,515,0,High,No Rating,Fast,Review Needed
INT-102104,42:31.9,Marketing,Intern,Which campaign had highest ROI?,Revenue,ROI,Trend Analysis,0.9,901,3,nan,Neutral,Slow,High Performance
INT-102122,11:31.9,Finance,Manager,Compare sales performance by region,Sales,ROI,Descriptive,0.9,420,3,Medium,Neutral,Fast,High Performance
INT-101622,21:31.9,Marketing,Executive,What is customer churn rate?,Customer,Churn Rate,Trend Analysis,0.9,1924,5,nan,Positive,Slow,High Performance
INT-101537,56:31.9,Operations,Executive,Show monthly revenue trend,Customer,Profit Margin,Descriptive,1,308,3,High,Neutral,Fast,High Performance
INT-101587,19:31.9,Sales,Intern,Forecast next quarter revenue,Customer,Revenue,Descriptive,0.9,2338,4,Medium,Positive,Slow,High Performance
INT-101803,40:31.9,HR,Manager,Show monthly revenue trend,Marketing,Revenue,Trend Analysis,0.9,2426,1,Low,Negative,Slow,Review Needed
INT-101929,28:31.9,Operations,Manager,Which campaign had highest ROI?,Finance,Conversion Rate,Trend Analysis,0.8,1419,0,Low,No Rating,Slow,Review Needed
INT-101963,51:31.9,Operations,Executive,Which campaign had highest ROI?,Revenue,Conversion Rate,Predictive,0.7,365,2,nan,Negative,Fast,Review Needed
INT-102082,02:31.9,Operations,Executive,Compare sales performance by region,Customer,Churn Rate,Trend Analysis,0.8,1039,0,High,No Rating,Slow,Review Needed
INT-102052,55:31.9,Sales,Analyst,What is customer churn rate?,Finance,Profit Margin,Trend Analysis,0.8,685,2,Low,Negative,Slow,Review Needed
INT-102584,12:31.9,HR,Manager,Compare sales performance by region,Marketing,Profit Margin,Trend Analysis,0.8,673,3,Low,Neutral,Slow,High Performance
INT-102616,42:31.9,HR,Manager,What is customer churn rate?,Customer,Revenue,Descriptive,0.8,2120,0,Low,No Rating,Slow,Review Needed
INT-102311,08:31.9,Sales,Executive,Show monthly revenue trend,Finance,Conversion Rate,Descriptive,0.7,1824,3,Low,Neutral,Slow,High Performance
INT-102346,43:31.9,HR,Intern,Show monthly revenue trend,Finance,Churn Rate,Predictive,0.6,2400,2,Medium,Negative,Slow,Review Needed
INT-102354,24:31.9,Finance,Analyst,Forecast next quarter revenue,Revenue,Revenue,Descriptive,0.6,218,2,Medium,Negative,Instant,Review Needed
INT-102436,40:31.9,Finance,Executive,Forecast next quarter revenue,Marketing,Revenue,Descriptive,0.7,681,1,Medium,Negative,Slow,Review Needed
INT-102496,17:31.9,Finance,Intern,Which campaign had highest ROI?,Marketing,Churn Rate,Predictive,0.9,1250,4,Low,Positive,Slow,High Performance
INT-102492,13:31.9,Finance,Intern,Show monthly revenue trend,Finance,Profit Margin,Predictive,0.8,1747,2,Low,Negative,Slow,Review Needed
INT-102864,12:31.9,HR,Analyst,What is customer churn rate?,Marketing,ROI,Descriptive,0.8,734,1,Low,Negative,Slow,Review Needed
INT-103042,37:31.9,HR,Manager,Compare sales performance by region,Finance,ROI,Predictive,0.7,1689,5,Low,Positive,Slow,High Performance
INT-103171,54:31.9,HR,Manager,Compare sales performance by region,Finance,Profit Margin,Descriptive,0.7,1501,2,Low,Negative,Slow,Review Needed
INT-100570,01:31.9,Marketing,Manager,Forecast next quarter revenue,Marketing,Profit Margin,Predictive,0.7,1013,0,Medium,No Rating,Slow,Review Needed
INT-100626,05:31.9,HR,Manager,Show monthly revenue trend,Marketing,Churn Rate,Predictive,0.9,1158,5,Low,Positive,Slow,High Performance
INT-100670,00:31.9,Finance,Manager,Compare sales performance by region,Marketing,Churn Rate,Predictive,1,291,1,Medium,Negative,Instant,Review Needed
INT-100647,05:31.9,Operations,Analyst,Forecast next quarter revenue,Revenue,Conversion Rate,Descriptive,0.8,846,2,Medium,Negative,Slow,Review Needed
INT-100655,20:31.9,Sales,Intern,Forecast next quarter revenue,Revenue,Churn Rate,Predictive,0.7,2283,4,Medium,Positive,Slow,High Performance
INT-100707,47:31.9,Finance,Intern,Show monthly revenue trend,Revenue,Revenue,Descriptive,0.9,1611,1,Low,Negative,Slow,Review Needed
INT-100309,08:31.9,Operations,Executive,Which campaign had highest ROI?,Marketing,Churn Rate,Predictive,0.8,1306,0,Medium,No Rating,Slow,Review Needed
INT-100394,34:31.9,Operations,Intern,Forecast next quarter revenue,Revenue,Revenue,Predictive,0.9,1938,4,Medium,Positive,Slow,High Performance
INT-100495,56:31.9,Sales,Analyst,Compare sales performance by region,Sales,ROI,Predictive,0.6,278,4,Low,Positive,Instant,High Performance
INT-100510,47:31.9,Finance,Manager,Forecast next quarter revenue,Sales,Conversion Rate,Predictive,0.8,1748,3,Medium,Neutral,Slow,High Performance
INT-100471,57:31.9,Operations,Intern,Show monthly revenue trend,Marketing,Churn Rate,Descriptive,0.6,2396,0,High,No Rating,Slow,Review Needed
INT-100440,46:31.9,Sales,Manager,Compare sales performance by region,Marketing,ROI,Predictive,0.8,2072,2,High,Negative,Slow,Review Needed
INT-100061,57:31.9,HR,Analyst,What is customer churn rate?,Finance,Profit Margin,Descriptive,0.9,410,4,Low,Positive,Fast,High Performance
INT-100176,48:31.9,Finance,Manager,What is customer churn rate?,Revenue,Churn Rate,Predictive,1,726,4,Medium,Positive,Slow,High Performance
INT-100243,02:31.9,Finance,Intern,Which campaign had highest ROI?,Sales,Profit Margin,Predictive,0.7,819,5,nan,Positive,Slow,High Performance
INT-101120,40:31.9,Marketing,Intern,Forecast next quarter revenue,Sales,Conversion Rate,Descriptive,0.9,901,1,Low,Negative,Slow,Review Needed
INT-101139,22:31.9,HR,Analyst,Show monthly revenue trend,Sales,Profit Margin,Trend Analysis,0.6,1460,2,Low,Negative,Slow,Review Needed
INT-101135,00:31.9,Marketing,Analyst,What is customer churn rate?,Customer,Revenue,Trend Analysis,0.8,1803,3,Low,Neutral,Slow,High Performance
INT-101137,24:31.9,Finance,Intern,Compare sales performance by region,Revenue,ROI,Descriptive,0.7,1300,5,Low,Positive,Slow,High Performance
INT-101076,33:31.9,Operations,Executive,Forecast next quarter revenue,Marketing,ROI,Trend Analysis,0.9,2124,2,High,Negative,Slow,Review Needed
INT-101053,54:31.9,Sales,Analyst,Forecast next quarter revenue,Finance,Churn Rate,Trend Analysis,0.9,687,2,Low,Negative,Slow,Review Needed
INT-101027,05:31.9,Marketing,Analyst,Compare sales performance by region,Sales,Conversion Rate,Predictive,0.8,650,3,Medium,Neutral,Slow,High Performance
INT-101485,04:31.9,Sales,Executive,Which campaign had highest ROI?,Marketing,ROI,Descriptive,0.9,1513,0,High,No Rating,Slow,Review Needed
INT-101505,06:31.9,HR,Analyst,Which campaign had highest ROI?,Finance,Conversion Rate,Descriptive,0.6,988,4,Medium,Positive,Slow,High Performance
INT-101455,24:31.9,Operations,Manager,Which campaign had highest ROI?,Marketing,Profit Margin,Descriptive,0.8,1083,4,Medium,Positive,Slow,High Performance
INT-101448,30:31.9,Sales,Intern,Forecast next quarter revenue,Revenue,Profit Margin,Descriptive,0.7,2201,0,Low,No Rating,Slow,Review Needed
INT-101376,27:31.9,Finance,Executive,Show monthly revenue trend,Revenue,ROI,Descriptive,1,621,2,Medium,Negative,Slow,Review Needed
INT-102028,06:31.9,Finance,Manager,What is customer churn rate?,Customer,Churn Rate,Predictive,0.6,2024,3,Medium,Neutral,Slow,High Performance
INT-102071,56:31.9,HR,Executive,What is customer churn rate?,Marketing,Revenue,Trend Analysis,0.9,676,2,Low,Negative,Slow,Review Needed
INT-101945,27:31.9,Sales,Executive,What is customer churn rate?,Marketing,ROI,Predictive,0.8,1625,3,Medium,Neutral,Slow,High Performance
INT-102012,22:31.9,Finance,Analyst,What is customer churn rate?,Sales,Revenue,Predictive,0.6,970,5,High,Positive,Slow,High Performance
INT-101883,40:31.9,Sales,Manager,Show monthly revenue trend,Sales,Revenue,Descriptive,0.6,2097,4,Low,Positive,Slow,High Performance
INT-101555,47:31.9,Operations,Executive,Show monthly revenue trend,Finance,Churn Rate,Predictive,0.7,1693,5,Medium,Positive,Slow,High Performance
INT-101541,40:31.9,HR,Manager,Which campaign had highest ROI?,Marketing,Conversion Rate,Trend Analysis,0.9,936,0,Medium,No Rating,Slow,Review Needed
INT-101597,05:31.9,Finance,Intern,Which campaign had highest ROI?,Finance,Profit Margin,Trend Analysis,0.7,1827,5,Medium,Positive,Slow,High Performance
INT-101733,07:31.9,Operations,Intern,Show monthly revenue trend,Revenue,Churn Rate,Descriptive,0.7,1786,3,Medium,Neutral,Slow,High Performance
INT-101658,19:31.9,Sales,Manager,What is customer churn rate?,Customer,Conversion Rate,Predictive,0.7,1622,0,Medium,No Rating,Slow,Review Needed
INT-101721,45:31.9,Finance,Executive,Forecast next quarter revenue,Sales,Conversion Rate,Trend Analysis,0.7,2056,4,Medium,Positive,Slow,High Performance
INT-102105,10:31.9,Finance,Manager,Show monthly revenue trend,Revenue,ROI,Trend Analysis,0.9,1654,2,Medium,Negative,Slow,Review Needed
INT-102153,52:31.9,HR,Manager,Show monthly revenue trend,Finance,Revenue,Descriptive,0.7,2103,3,Medium,Neutral,Slow,High Performance
INT-102223,06:31.9,Operations,Executive,Show monthly revenue trend,Marketing,Profit Margin,Predictive,0.6,302,4,Low,Positive,Fast,High Performance
INT-102847,55:31.9,HR,Executive,What is customer churn rate?,Sales,ROI,Trend Analysis,0.8,550,4,Medium,Positive,Fast,High Performance
INT-102891,24:31.9,HR,Analyst,Forecast next quarter revenue,Finance,Profit Margin,Descriptive,0.9,2450,2,Low,Negative,Slow,Review Needed
INT-102962,07:31.9,Sales,Analyst,Which campaign had highest ROI?,Sales,Revenue,Trend Analysis,0.9,2364,3,Low,Neutral,Slow,High Performance
INT-102491,04:31.9,Operations,Executive,What is customer churn rate?,Revenue,Conversion Rate,Descriptive,0.8,742,1,Low,Negative,Slow,Review Needed
INT-102559,53:31.9,Marketing,Analyst,Forecast next quarter revenue,Finance,Churn Rate,Predictive,0.7,1854,4,High,Positive,Slow,High Performance
INT-102525,58:31.9,Marketing,Executive,Compare sales performance by region,Finance,Profit Margin,Descriptive,0.8,1235,4,nan,Positive,Slow,High Performance
INT-102528,21:31.9,HR,Manager,Which campaign had highest ROI?,Sales,Conversion Rate,Trend Analysis,0.9,2179,0,Medium,No Rating,Slow,Review Needed
INT-102426,55:31.9,Operations,Analyst,Show monthly revenue trend,Customer,Profit Margin,Predictive,0.7,997,2,Medium,Negative,Slow,Review Needed
INT-102487,36:31.9,Sales,Analyst,Which campaign had highest ROI?,Sales,Profit Margin,Predictive,0.8,561,2,Low,Negative,Fast,Review Needed
INT-102361,41:31.9,Operations,Analyst,What is customer churn rate?,Revenue,Profit Margin,Trend Analysis,0.9,1727,5,Medium,Positive,Slow,High Performance
INT-102313,52:31.9,Marketing,Manager,Which campaign had highest ROI?,Revenue,Revenue,Predictive,0.7,1355,1,Low,Negative,Slow,Review Needed
INT-102594,51:31.9,Operations,Manager,What is customer churn rate?,Marketing,Conversion Rate,Predictive,0.7,928,2,nan,Negative,Slow,Review Needed
INT-102566,43:31.9,Finance,Intern,Which campaign had highest ROI?,Customer,ROI,Descriptive,0.8,1715,2,High,Negative,Slow,Review Needed
INT-102684,44:31.9,Finance,Analyst,Which campaign had highest ROI?,Sales,Churn Rate,Trend Analysis,0.9,586,0,Low,No Rating,Fast,Review Needed
INT-102635,58:31.9,Finance,Analyst,Show monthly revenue trend,Revenue,ROI,Predictive,0.8,1382,0,nan,No Rating,Slow,Review Needed
INT-102774,29:31.9,HR,Manager,Show monthly revenue trend,Sales,ROI,Descriptive,0.7,1510,2,Medium,Negative,Slow,Review Needed
INT-102725,31:31.9,Marketing,Intern,Show monthly revenue trend,Customer,Profit Margin,Descriptive,0.7,1055,0,Medium,No Rating,Slow,Review Needed
INT-103119,48:31.9,Operations,Analyst,Which campaign had highest ROI?,Sales,Profit Margin,Predictive,0.8,1448,3,Medium,Neutral,Slow,High Performance
INT-103113,25:31.9,Finance,Intern,Forecast next quarter revenue,Finance,Profit Margin,Predictive,0.6,590,4,Low,Positive,Fast,High Performance
INT-103095,21:31.9,Finance,Manager,Forecast next quarter revenue,Revenue,Churn Rate,Trend Analysis,0.7,1011,0,Medium,No Rating,Slow,Review Needed
INT-100214,36:31.9,Finance,Executive,Forecast next quarter revenue,Customer,Profit Margin,Predictive,0.7,1832,4,High,Positive,Slow,High Performance
INT-100079,23:31.9,HR,Executive,Compare sales performance by region,Sales,Churn Rate,Predictive,0.8,2362,2,High,Negative,Slow,Review Needed
INT-100098,59:31.9,Marketing,Manager,What is customer churn rate?,Sales,Revenue,Predictive,0.9,2154,5,High,Positive,Slow,High Performance
INT-100474,23:31.9,Finance,Executive,Which campaign had highest ROI?,Revenue,Profit Margin,Predictive,0.6,2426,4,Medium,Positive,Slow,High Performance
INT-100456,05:31.9,Operations,Intern,What is customer churn rate?,Customer,ROI,Trend Analysis,0.8,993,5,Medium,Positive,Slow,High Performance
INT-100494,18:31.9,Operations,Analyst,Forecast next quarter revenue,Marketing,Profit Margin,Descriptive,0.8,2469,0,Medium,No Rating,Slow,Review Needed
